Sample Size,Mean Estimate,Lower Bound,Upper Bound
173.0,0.999918659284911,0.9948381507459988,1.004999167823823
174.0,1.000257612391413,0.9951771038525009,1.0053381209303252
175.0,1.0001391798170554,0.9950586712781432,1.0052196883559674
176.0,0.9994651341420743,0.9943846256031621,1.0045456426809865
177.0,0.9987686276951511,0.9936881191562389,1.0038491362340631
178.0,0.9985336557312394,0.9934531471923272,1.0036141642701515
179.0,0.9977979603771893,0.9927174518382771,1.0028784689161014
180.0,0.9984846737447035,0.9934041652057913,1.0035651822836156
181.0,0.9990031042822769,0.9939225957433647,1.004083612821189
182.0,1.0004575345635702,0.995377026024658,1.0055380431024823
183.0,1.0012443604987038,0.9961638519597916,1.0063248690376159
184.0,1.001523855867855,0.9964433473289428,1.006604364406767
185.0,1.001615974947469,0.9965354664085567,1.006696483486381
186.0,1.0015394099093975,0.9964589013704853,1.0066199184483096
187.0,1.0023372613926638,0.9972567528537516,1.0074177699315758
188.0,1.0022419363912707,0.9971614278523585,1.0073224449301827
189.0,1.0013865026772648,0.9963059941383526,1.0064670112161769
190.0,1.001566778981645,0.9964862704427327,1.006647287520557
191.0,1.0017043904592984,0.9966238819203862,1.0067848989982104
192.0,1.0019566339585866,0.9968761254196744,1.0070371424974986
193.0,1.0019162694192165,0.9968357608803043,1.0069967779581286
194.0,1.0029388387421105,0.9978583302031984,1.0080193472810226
195.0,1.0036699001920333,0.9985893916531211,1.0087504087309453
196.0,1.0025417121083244,0.9974612035694123,1.0076222206472365
197.0,1.0024563138945377,0.9973758053556255,1.0075368224334498
198.0,1.0027019864021194,0.9976214778632072,1.0077824949410314
199.0,1.0045328810355878,0.9994523724966756,1.0096133895744999
200.0,1.0050461063375633,0.9999655977986511,1.0101266148764754
201.0,1.0052547610999467,1.0001742525610346,1.0103352696388588
202.0,1.005182427285415,1.000101918746503,1.0102629358243271
203.0,1.005632187021588,1.000551678482676,1.0107126955605001
204.0,1.0045265788885613,0.9994460703496492,1.0096070874274734
205.0,1.005124160147596,1.000043651608684,1.010204668686508
206.0,1.0052468359095064,1.0001663273705943,1.0103273444484184
207.0,1.006302574209894,1.001222065670982,1.0113830827488062
208.0,1.0058968887209816,1.0008163801820695,1.0109773972598937
209.0,1.0048379506607832,0.999757442121871,1.0099184591996953
210.0,1.0049937493637024,0.9999132408247903,1.0100742579026145
211.0,1.0047062127507906,0.9996257042118785,1.0097867212897027
212.0,1.0047042328248914,0.9996237242859792,1.0097847413638035
213.0,1.0043045263575967,0.9992240178186845,1.0093850348965088
214.0,1.0043702984918035,0.9992897899528913,1.0094508070307155
215.0,1.0040116562319246,0.9989311476930124,1.0090921647708366
216.0,1.0037255657157178,0.9986450571768056,1.0088060742546299
217.0,1.002702255487268,0.9976217469483558,1.00778276402618
218.0,1.0031565014675063,0.9980759929285942,1.0082370100064184
219.0,1.0036336268536918,0.9985531183147797,1.008714135392604
220.0,1.003420943494568,0.9983404349556558,1.00850145203348
221.0,1.0032506432100523,0.9981701346711401,1.0083311517489644
222.0,1.0023913661035204,0.9973108575646082,1.0074718746424325
223.0,1.0019243015239756,0.9968437929850634,1.0070048100628877
224.0,1.0014117401839417,0.9963312316450296,1.0064922487228538
225.0,1.0021404889471461,0.997059980408234,1.0072209974860582
