"outer iteration","expectation estimate","lower bound","upper bound"
2.0300000000000000e+02,9.8885384474494753e-01,9.5606614315388150e-01,1.0194743190934801e+00
2.0400000000000000e+02,9.8777023112368079e-01,9.5689728768345439e-01,1.0200566458978086e+00
2.0500000000000000e+02,9.8847696679063146e-01,9.5588761284638324e-01,1.0188849167414411e+00
2.0600000000000000e+02,9.8738626479391212e-01,9.5750351081105123e-01,1.0205173735219466e+00
2.0700000000000000e+02,9.8901044216649892e-01,9.5933253618848657e-01,1.0224801841830047e+00
2.0800000000000000e+02,9.9090636018574563e-01,9.5874837523798084e-01,1.0216543250438319e+00
2.0900000000000000e+02,9.9020135014090638e-01,9.6061788566907758e-01,1.0236876582758501e+00
2.1000000000000000e+02,9.9215277197246377e-01,9.5955917067300500e-01,1.0224855080436577e+00
2.1100000000000000e+02,9.9102233935833128e-01,9.5882589234169846e-01,1.0215412458894959e+00
2.1200000000000000e+02,9.9018356911559713e-01,9.5897933326723972e-01,1.0214002532813156e+00
2.1300000000000000e+02,9.9018979327427759e-01,9.6064362632183498e-01,1.0231253517920098e+00
2.1400000000000000e+02,9.9188448905692239e-01,9.5986622240814590e-01,1.0221515381667978e+00
2.1500000000000000e+02,9.9100888028747192e-01,9.5862685029788086e-01,1.0208263028093192e+00
2.1600000000000000e+02,9.8972657655359997e-01,9.5863779062378740e-01,1.0205527395074745e+00
2.1700000000000000e+02,9.8959526506563089e-01,9.6039381755311437e-01,1.0224337588743388e+00
2.1800000000000000e+02,9.9141378821372661e-01,9.5931821409038864e-01,1.0212348300470051e+00
2.1900000000000000e+02,9.9027652206869687e-01,9.5990667647626815e-01,1.0215682092207687e+00
2.2000000000000000e+02,9.9073744284851839e-01,9.5866247036655661e-01,1.0202492918521395e+00
2.2100000000000000e+02,9.8945588110934801e-01,9.5937952457866260e-01,1.0207339494118517e+00
2.2200000000000000e+02,9.9005673699525720e-01,9.5998519354828504e-01,1.0210936545135485e+00
2.2300000000000000e+02,9.9053942403091677e-01,9.5977122264637371e-01,1.0206216659654477e+00
2.2400000000000000e+02,9.9019644430591069e-01,9.6149672743561887e-01,1.0224810208395410e+00
2.2500000000000000e+02,9.9198887413757997e-01,9.6282877024194513e-01,1.0237570840510468e+00
2.2600000000000000e+02,9.9329292714649597e-01,9.6152461552296664e-01,1.0224063199660289e+00
2.2700000000000000e+02,9.9196546774449779e-01,9.6313720699669414e-01,1.0240946787053726e+00
2.2800000000000000e+02,9.9361594285103338e-01,9.6214875344195394e-01,1.0229793346522820e+00
2.2900000000000000e+02,9.9256404404711795e-01,9.6116631749798354e-01,1.0218703689084845e+00
2.3000000000000000e+02,9.9151834320323395e-01,9.6130301149371544e-01,1.0217442783603539e+00
2.3100000000000000e+02,9.9152364492703471e-01,9.6088814637124409e-01,1.0211042436389592e+00
2.3200000000000000e+02,9.9099619500510161e-01,9.6234092885057387e-01,1.0225695972824700e+00
2.3300000000000000e+02,9.9245526306652199e-01,9.6124400486097283e-01,1.0213815580512060e+00
2.3400000000000000e+02,9.9131278145608948e-01,9.6213015676189728e-01,1.0220932984141025e+00
2.3500000000000000e+02,9.9211172758799993e-01,9.6334946340384964e-01,1.0232371371703777e+00
2.3600000000000000e+02,9.9329330028711371e-01,9.6493465125823352e-01,1.0249088780742566e+00
2.3700000000000000e+02,9.9492176466624505e-01,9.6489988588052422e-01,1.0246253643349641e+00
2.3800000000000000e+02,9.9476262510774416e-01,9.6476092301336147e-01,1.0242451711087479e+00
2.3900000000000000e+02,9.9450304706105475e-01,9.6374522228369375e-01,1.0231282885359949e+00
2.4000000000000000e+02,9.9343675540984433e-01,9.6288379358009890e-01,1.0221319796902628e+00
2.4100000000000000e+02,9.9250788663518086e-01,9.6162795671362189e-01,1.0208411860647819e+00
2.4200000000000000e+02,9.9123457138920190e-01,9.6324894997856636e-01,1.0225845173151100e+00
2.4300000000000000e+02,9.9291673364683819e-01,9.6485925406414108e-01,1.0243109613143973e+00
2.4400000000000000e+02,9.9458510768926911e-01,9.6399776032064388e-01,1.0233178291516161e+00
2.4500000000000000e+02,9.9365779473613003e-01,9.6559396396420916e-01,1.0250252206434693e+00
2.4600000000000000e+02,9.9530959230383920e-01,9.6605060282078303e-01,1.0252565411109185e+00
2.4700000000000000e+02,9.9565357196585080e-01,9.6627132712050479e-01,1.0252398827311318e+00
2.4800000000000000e+02,9.9575560492581827e-01,9.6783694276271182e-01,1.0269083823037155e+00
2.4900000000000000e+02,9.9737266253321366e-01,9.6824593675354442e-01,1.0270925288398665e+00
2.5000000000000000e+02,9.9766923279670539e-01,9.6760716465356944e-01,1.0262873244924977e+00
2.5100000000000000e+02,9.9694724457303352e-01,9.6870516289379838e-01,1.0272978005130968e+00
2.5200000000000000e+02,9.9800148170344760e-01,9.6913126932745730e-01,1.0275054817316616e+00
2.5300000000000000e+02,9.9831837552955938e-01,9.6896196171150484e-01,1.0271166052759921e+00
2.5400000000000000e+02,9.9803928349374849e-01,9.7005854707316530e-01,1.0281323093011234e+00
2.5500000000000000e+02,9.9909542818714436e-01,9.7091002029129181e-01,1.0288369665037904e+00
2.5600000000000000e+02,9.9987349339754117e-01,9.7019001647183045e-01,1.0279745366492643e+00
2.5700000000000000e+02,9.9908227656054738e-01,9.6908018034289445e-01,1.0268120977940216e+00
2.5800000000000000e+02,9.9794613906845808e-01,9.6830189491599850e-01,1.0259053013737420e+00
2.5900000000000000e+02,9.9710359814487026e-01,9.6800643774961137e-01,1.0254091819888220e+00
2.6000000000000000e+02,9.9670780986921670e-01,9.6703795896786227e-01,1.0243572012607647e+00
2.6100000000000000e+02,9.9569758011431353e-01,9.6853133934345692e-01,1.0259500988995645e+00
2.6200000000000000e+02,9.9724071912151069e-01,9.6933371827887960e-01,1.0266051670182967e+00
2.6300000000000000e+02,9.9796944264858822e-01,9.6985546917687604e-01,1.0269342539319271e+00
2.6400000000000000e+02,9.9839486155440160e-01,9.7108329589610864e-01,1.0281467281693513e+00
2.6500000000000000e+02,9.9961501203272995e-01,9.7175082014823033e-01,1.0286454946864390e+00
2.6600000000000000e+02,1.0001981574173346e+00,9.7068260413787333e-01,1.0275255950857087e+00
2.6700000000000000e+02,9.9910409961179103e-01,9.7100783964476012e-01,1.0276454226631846e+00
2.6800000000000000e+02,9.9932663115397236e-01,9.6992484459825212e-01,1.0265174186270933e+00
2.6900000000000000e+02,9.9822113161267279e-01,9.7105421442308204e-01,1.0276035283894858e+00
2.7000000000000000e+02,9.9932887140628390e-01,9.7248893639472478e-01,1.0291257889166892e+00
2.7100000000000000e+02,1.0008073626557070e+00,9.7183298176733213e-01,1.0283327672802944e+00
2.7200000000000000e+02,1.0000828745238133e+00,9.7211662671174981e-01,1.0284139785839508e+00
2.7300000000000000e+02,1.0002653026478503e+00,9.7180871068753694e-01,1.0279224011434940e+00
2.7400000000000000e+02,9.9986555591551540e-01,9.7100639759509333e-01,1.0270159000587462e+00
2.7500000000000000e+02,9.9901114882691977e-01,9.7160316181694284e-01,1.0274458706607223e+00
2.7600000000000000e+02,9.9952451623883265e-01,9.7300630096351626e-01,1.0289342470003542e+00
2.7700000000000000e+02,1.0009702739819353e+00,9.7324022690912204e-01,1.0289694812782633e+00
2.7800000000000000e+02,1.0011048540936927e+00,9.7249100844220104e-01,1.0281096743625835e+00
2.7900000000000000e+02,1.0003003414023923e+00,9.7381295853943850e-01,1.0294833596668456e+00
2.8000000000000000e+02,1.0016481591031421e+00,9.7279985175050410e-01,1.0284206129431896e+00
2.8100000000000000e+02,1.0006102323468469e+00,9.7354757321768404e-01,1.0290351438997329e+00
2.8200000000000000e+02,1.0012913585587084e+00,9.7412899976895984e-01,1.0294552092556593e+00
2.8300000000000000e+02,1.0017921045123095e+00,9.7362345908829029e-01,1.0288014928855775e+00
2.8400000000000000e+02,1.0012124759869339e+00,9.7260828763844720e-01,1.0277422968762508e+00
2.8500000000000000e+02,1.0001752922573490e+00,9.7223934094623599e-01,1.0272089302123839e+00
2.8600000000000000e+02,9.9972413557930995e-01,9.7159942047392045e-01,1.0264461820074624e+00
2.8700000000000000e+02,9.9902280124069143e-01,9.7095589054464615e-01,1.0256816042423773e+00
2.8800000000000000e+02,9.9831874739351179e-01,9.6997338421498092e-01,1.0246516895656774e+00
2.8900000000000000e+02,9.9731253689032917e-01,9.6964343980489831e-01,1.0241570772281694e+00
